csus,rnt,002535201
csus,anf,002896207
csus,atvi,00507V109
cseu,adsgr,9900040T1
cseu,abibb,986295822
csgb,brbyln,970970QG7
cseu,dougr,9900012E8
cseu,geoim,993311ZU6
csgb,homeln,997514CL6
cseu,itxsm,993970AE2
csgb,kgfln,987960KT7
swus,mvrx,14984H103
adus,shpgy,82481R106
csgb,sigln,99A0005C0
csus,997000xy5,9C9991678
cbus,6046759c4,6046759C4
clus,aeo+cb,99OBP03B8
clus,aro+ce,99OBQCDF1
clus,bke+cf,99OB9YD96
clus,dqo+ch,99OBP6T01
ptus,an+pu,99OB8KDD8
ptus,avp+pd,99OBJ3DQ5
wtus,sumrw,865646111
clus,coh+ec,99OBBV2S9
clus,cvs+ey,99OBBW0F7
cbus,718592ag3,718592AG3
cbus,6046759b6,6046759B6